,,,,,,,,,number of cycles cancelled before eggs were collected,,,,number of cycles cancelled between egg collection and embryo transfer,,,,,,,Number of embryos transferred,,Pregnancies and births per treatment cycle,,,,,,,,,,,,Pregnancies and births per embryo transferred,,,,,,,
Clinic,number of cycles started,Number of cycles reaching egg collection stage,Number of cycles reaching embryo transfer stage,Average number of embryos transferred during all cycles,Proportion single embryo transfers (elective),Proportion of single embryo transfers (non elective),Proportion of two embryo transfers,Proportion of three embryo transfers,Patient had not produced enough eggs to collect after taking fertility drugs,Patient had an adverse reaction to fertility drugs â€“ unsafe to continue cycle,other,Reason not supplied,Over response (Patient has produced too many eggs after taking fertility drugs and it would not be safe to continue the cycle),Embryos did not develop normally,Embryos did not thaw properly (when cycle was using frozen embryos),Embryos tested positive for a genetic test,Other,No embryos developed,Reason not supplied,Total number of embryos transferred during all cycles,Proportion of all embryos transfers that were blastocysts,Pregnancies per cycle,Pregnancies per cycle %,Live births per cycle,Live births per cycle %,Singleton live births per cycle,Singleton live births per cycle %,Multiple births per cycle,Multiple births per cycle %,Live births per egg collection,Live births per egg collection %,Live births per embryo transfer,Live births per embryo transfer %,Pregnancies per embryo transferred,Pregnancies per embryo transferred %,Live births per embryo transferred,Live births per embryo transferred %,Singleton live births per embryo transferred,Singleton live births per embryo transferred %,Multiple births per embryo transferred,Multiple births per embryo transferred %
"CREATE Fertility, London St Paul's",35,35,35,1.29,57%,20%,17%,6%,0,0,0,0,0,0,0,0,0,0,0,45,83%,10,29%,4,11%,4,11%,0,0%,4,11%,4,11%,10,22%,4,9%,4,9%,0,0%
"CREATE Fertility, London Wimbledon",10,10,10,1.3,60%,10%,30%,0%,0,0,0,0,0,0,0,0,0,0,0,13,40%,1,10%,0,0%,0,0%,0,0%,0,0%,0,0%,1,8%,0,0%,0,0%,0,0%
Aberdeen Fertility Centre,58,53,45,1.29,60%,11%,29%,0%,4,0,1,0,0,3,0,0,0,5,0,58,38%,8,14%,5,9%,5,9%,0,0%,5,9%,5,11%,8,14%,5,9%,5,9%,0,0%
Agora Clinic Brighton,63,62,57,1.67,11%,30%,53%,7%,1,0,0,0,1,0,0,0,3,1,0,95,49%,11,17%,7,11%,7,11%,0,0%,7,11%,7,12%,11,12%,7,7%,7,7%,0,0%
Manchester Fertility,88,70,59,1.68,19%,14%,68%,0%,15,0,2,1,1,0,0,0,5,5,0,99,51%,12,14%,9,10%,9,10%,0,0%,9,13%,9,15%,12,12%,9,9%,9,9%,0,0%
Hewitt Fertility Centre,105,98,75,1.64,17%,19%,64%,0%,6,1,0,0,0,5,0,0,8,10,0,123,59%,14,13%,13,12%,10,10%,3,3%,13,13%,13,17%,14,11%,13,11%,10,8%,3,2%
Assisted Reproduction and Gynaecology Centre,123,123,121,2.65,0%,6%,23%,71%,0,0,0,0,0,0,0,0,0,2,0,321,44%,50,41%,39,32%,29,24%,10,8%,39,32%,39,32%,50,16%,39,12%,29,9%,10,3%
The Lister Fertility Clinic,463,425,348,1.58,31%,16%,49%,5%,4,0,21,13,0,1,0,0,54,23,0,549,65%,91,20%,69,15%,64,14%,5,1%,69,16%,69,20%,91,17%,69,13%,64,12%,5,1%
Barts Health Centre for Reproductive Medicine,84,79,65,1.65,15%,20%,65%,0%,3,1,1,0,3,0,0,0,1,10,0,107,49%,18,21%,12,14%,12,14%,0,0%,12,15%,12,18%,18,17%,12,11%,12,11%,0,0%
