,,,,,,,,,number of cycles cancelled before eggs were collected,,,,number of cycles cancelled between egg collection and embryo transfer,,,,,,,Number of embryos transferred,,Pregnancies and births per treatment cycle,,,,,,,,,,,,Pregnancies and births per embryo transferred,,,,,,,
Clinic,number of cycles started,Number of cycles reaching egg collection stage,Number of cycles reaching embryo transfer stage,Average number of embryos transferred during all cycles,Proportion single embryo transfers (elective),Proportion of single embryo transfers (non elective),Proportion of two embryo transfers,Proportion of three embryo transfers,Patient had not produced enough eggs to collect after taking fertility drugs,Patient had an adverse reaction to fertility drugs â€“ unsafe to continue cycle,other,Reason not supplied,Over response (Patient has produced too many eggs after taking fertility drugs and it would not be safe to continue the cycle),Embryos did not develop normally,Embryos did not thaw properly (when cycle was using frozen embryos),Embryos tested positive for a genetic test,Other,No embryos developed,Reason not supplied,Total number of embryos transferred during all cycles,Proportion of all embryos transfers that were blastocysts,Pregnancies per cycle,Pregnancies per cycle %,Live births per cycle,Live births per cycle %,Singleton live births per cycle,Singleton live births per cycle %,Multiple births per cycle,Multiple births per cycle %,Live births per egg collection,Live births per egg collection %,Live births per embryo transfer,Live births per embryo transfer %,Pregnancies per embryo transferred,Pregnancies per embryo transferred %,Live births per embryo transferred,Live births per embryo transferred %,Singleton live births per embryo transferred,Singleton live births per embryo transferred %,Multiple births per embryo transferred,Multiple births per embryo transferred %
"CREATE Fertility, London St Paul's",120,120,120,1.02,71%,27%,3%,0%,0,0,0,0,0,0,0,0,0,0,0,123,98%,63,52%,57,48%,56,47%,1,1%,57,48%,57,48%,63,51%,57,46%,56,46%,1,1%
"CREATE Fertility, London Wimbledon",20,20,20,1,80%,20%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,20,75%,10,50%,7,35%,7,35%,0,0%,7,35%,7,35%,10,50%,7,35%,7,35%,0,0%
Aberdeen Fertility Centre,167,163,153,1.08,92%,1%,8%,0%,2,0,1,1,0,4,0,0,0,6,0,165,74%,54,32%,48,29%,46,28%,2,1%,48,29%,48,31%,54,33%,48,29%,46,28%,2,1%
Agora Clinic Brighton,194,186,163,1.06,35%,59%,6%,0%,4,2,2,0,10,1,0,0,10,2,0,173,85%,86,44%,78,40%,73,38%,5,3%,78,42%,78,48%,86,50%,78,45%,73,42%,5,3%
Manchester Fertility,247,237,187,1.1,79%,11%,10%,0%,7,1,1,1,20,0,0,0,16,14,0,206,84%,81,33%,76,31%,76,31%,0,0%,76,32%,76,41%,81,39%,76,37%,76,37%,0,0%
Hewitt Fertility Centre,581,567,378,1.15,75%,10%,15%,0%,9,1,4,0,15,4,0,0,156,14,0,433,89%,151,26%,145,25%,141,24%,4,1%,145,26%,145,38%,151,35%,145,33%,141,33%,4,1%
Assisted Reproduction and Gynaecology Centre,110,110,108,1.89,3%,12%,81%,4%,0,0,0,0,1,0,0,0,1,0,0,204,72%,81,74%,74,67%,55,50%,19,17%,74,67%,74,69%,81,40%,74,36%,55,27%,19,9%
The Lister Fertility Clinic,439,426,360,1.26,64%,9%,26%,0%,1,0,9,3,0,1,0,0,54,11,0,455,80%,167,38%,142,32%,129,29%,13,3%,142,33%,142,39%,167,37%,142,31%,129,28%,13,3%
Barts Health Centre for Reproductive Medicine,377,361,308,1.29,54%,17%,29%,0%,9,1,5,1,23,0,0,0,13,17,0,398,69%,160,42%,148,39%,131,35%,17,5%,148,41%,148,48%,160,40%,148,37%,131,33%,17,4%
Beginnings at Epsom & St Helier NHS University Trust,59,52,51,1.35,53%,12%,35%,0%,1,2,6,0,0,0,0,0,0,1,0,69,53%,23,39%,22,37%,20,34%,2,3%,22,42%,22,43%,23,33%,22,32%,20,29%,2,3%
Birmingham Women's Hospital,545,519,423,1.17,69%,14%,17%,0%,14,3,8,1,70,3,0,1,10,12,0,495,59%,192,35%,174,32%,161,30%,13,2%,174,34%,174,41%,192,39%,174,35%,161,33%,13,3%
BMI The Priory Hospital,161,157,132,1.23,72%,5%,23%,0%,3,0,0,1,5,0,0,0,10,10,0,163,82%,65,40%,61,38%,54,34%,7,4%,61,39%,61,46%,65,40%,61,37%,54,33%,7,4%
Boston Place,37,36,34,1.26,62%,12%,26%,0%,0,1,0,0,1,1,0,0,0,0,0,43,88%,17,46%,15,41%,12,32%,3,8%,15,42%,15,44%,17,40%,15,35%,12,28%,3,7%
Bourn Hall Clinic,476,467,420,1.29,48%,23%,29%,0%,3,3,2,1,24,0,0,0,10,13,0,542,76%,214,45%,194,41%,164,34%,30,6%,194,42%,194,46%,214,39%,194,36%,164,30%,30,6%
Bourn Hall Clinic Norwich,201,195,161,1.22,60%,17%,22%,0%,1,0,5,0,24,0,0,0,4,6,0,197,73%,85,42%,80,40%,74,37%,6,3%,80,41%,80,50%,85,43%,80,41%,74,38%,6,3%
Bristol Centre for Reproductive Medicine,163,158,157,1.21,76%,3%,21%,0%,3,0,2,0,0,0,0,0,1,0,0,190,90%,74,45%,71,44%,67,41%,4,2%,71,45%,71,45%,74,39%,71,37%,67,35%,4,2%
TFP NURTURE Fertility,353,327,273,1.32,32%,36%,32%,0%,19,1,6,0,22,10,0,0,10,12,0,360,93%,155,44%,145,41%,123,35%,22,6%,145,44%,145,53%,155,43%,145,40%,123,34%,22,6%
Cambridge IVF,63,60,42,1.17,69%,14%,17%,0%,3,0,0,0,16,0,0,0,2,0,0,49,67%,11,17%,10,16%,10,16%,0,0%,10,17%,10,24%,11,22%,10,20%,10,20%,0,0%
CARE  Birmingham,69,64,57,1.19,67%,14%,19%,0%,3,1,1,0,2,0,0,0,2,3,0,68,70%,25,36%,24,35%,22,32%,2,3%,24,38%,24,42%,25,37%,24,35%,22,32%,2,3%
CARE Bath,247,240,212,1.12,82%,6%,12%,0%,7,0,0,0,17,2,0,0,6,3,0,238,75%,89,36%,86,35%,80,32%,6,2%,86,36%,86,41%,89,37%,86,36%,80,34%,6,3%
CARE Northampton,218,214,198,1.23,68%,9%,23%,0%,2,0,2,0,3,0,0,0,5,8,0,244,82%,115,53%,109,50%,99,45%,10,5%,109,51%,109,55%,115,47%,109,45%,99,41%,10,4%
CARE Manchester,337,328,297,1.13,52%,35%,13%,0%,4,0,5,0,6,0,0,0,14,11,0,336,76%,103,31%,97,29%,97,29%,0,0%,97,30%,97,33%,103,31%,97,29%,97,29%,0,0%
CARE Tunbridge Wells,242,215,181,1.1,64%,26%,10%,0%,20,0,7,0,6,0,0,0,19,9,0,200,90%,92,38%,86,36%,82,34%,4,2%,86,40%,86,48%,92,46%,86,43%,82,41%,4,2%
CARE Nottingham,279,275,245,1.16,80%,4%,16%,0%,2,0,2,0,14,0,0,0,11,5,0,284,80%,116,42%,113,41%,109,39%,4,1%,113,41%,113,46%,116,41%,113,40%,109,38%,4,1%
CARE London,185,172,148,1.25,41%,34%,25%,0%,10,0,3,0,16,0,0,0,4,4,0,185,80%,70,38%,61,33%,54,29%,7,4%,61,35%,61,41%,70,38%,61,33%,54,29%,7,4%
