,,,,,,,,,number of cycles cancelled before eggs were collected,,,,number of cycles cancelled between egg collection and embryo transfer,,,,,,,Number of embryos transferred,,Pregnancies and births per treatment cycle,,,,,,,,,,,,Pregnancies and births per embryo transferred,,,,,,,
Clinic,number of cycles started,Number of cycles reaching egg collection stage,Number of cycles reaching embryo transfer stage,Average number of embryos transferred during all cycles,Proportion single embryo transfers (elective),Proportion of single embryo transfers (non elective),Proportion of two embryo transfers,Proportion of three embryo transfers,Patient had not produced enough eggs to collect after taking fertility drugs,Patient had an adverse reaction to fertility drugs â€“ unsafe to continue cycle,other,Reason not supplied,Over response (Patient has produced too many eggs after taking fertility drugs and it would not be safe to continue the cycle),Embryos did not develop normally,Embryos did not thaw properly (when cycle was using frozen embryos),Embryos tested positive for a genetic test,Other,No embryos developed,Reason not supplied,Total number of embryos transferred during all cycles,Proportion of all embryos transfers that were blastocysts,Pregnancies per cycle,Pregnancies per cycle %,Live births per cycle,Live births per cycle %,Singleton live births per cycle,Singleton live births per cycle %,Multiple births per cycle,Multiple births per cycle %,Live births per egg collection,Live births per egg collection %,Live births per embryo transfer,Live births per embryo transfer %,Pregnancies per embryo transferred,Pregnancies per embryo transferred %,Live births per embryo transferred,Live births per embryo transferred %,Singleton live births per embryo transferred,Singleton live births per embryo transferred %,Multiple births per embryo transferred,Multiple births per embryo transferred %
CREATE Fertility Bristol,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
"CREATE Fertility, London Wimbledon",0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Hewitt Fertility Centre,10,7,6,1.5,0%,50%,50%,0%,2,0,1,0,0,0,0,0,0,1,0,9,17%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
The Lister Fertility Clinic,67,57,37,1.65,14%,30%,49%,8%,3,0,5,2,0,0,0,0,11,9,0,61,35%,1,1%,0,0%,0,0%,0,0%,0,0%,1,2%,0,0%,0,0%
Barts Health Centre for Reproductive Medicine,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Beginnings at Epsom & St Helier NHS University Trust,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
"CREATE Fertility, Birmingham",0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Birmingham Women's Hospital,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Boston Place,12,10,8,1.5,0%,50%,50%,0%,2,0,0,0,0,1,0,0,0,1,0,12,25%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Bourn Hall Clinic Norwich,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Bourn Hall Clinic Wickford,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
CARE  Birmingham,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
CARE Bath,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
CARE London,21,16,12,1.75,8%,25%,58%,8%,2,0,3,0,0,0,0,0,1,3,0,21,42%,1,5%,0,0%,0,0%,0,0%,0,0%,1,5%,0,0%,0,0%
The Centre for Reproductive and Genetic Health,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Chelsea & Westminster Hospital,12,12,10,2.2,10%,0%,60%,30%,0,0,0,0,0,1,0,0,0,1,0,22,10%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Complete Fertility Centre Southampton,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Concept Fertility,12,11,8,2,0%,50%,0%,50%,1,0,0,0,1,0,0,0,0,2,0,16,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
TFP GCRM Fertility,10,7,4,1.5,0%,75%,0%,25%,2,0,0,1,0,1,0,0,0,2,0,6,25%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Fertility Exeter,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
London Women's Clinic,30,17,11,1.18,55%,27%,18%,0%,10,0,2,1,0,0,0,0,0,6,0,13,91%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Gateshead Fertility Unit,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Guys Hospital,20,16,12,1.67,0%,50%,33%,17%,3,0,0,1,0,0,0,0,1,3,0,20,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
IVI London (Wimpole Street),0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
James Cook University Hospital,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Leeds Fertility,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
London Fertility Centre,13,12,12,2.25,0%,25%,25%,50%,1,0,0,0,0,0,0,0,0,0,0,27,17%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
"London Women's Clinic, Wales",0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Newcastle Fertility Centre at Life,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Ninewells Hospital,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Reproductive Genetics Institute,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Reproductive Health Group,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Salisbury Fertility Centre,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Sussex Downs Fertility Centre,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
"Wales Fertility Institute, Cardiff",0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Wolfson Fertility Centre - Hammersmith Hospital,12,11,8,2,0%,25%,50%,25%,0,0,0,1,0,0,0,0,1,2,0,16,25%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
